Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
36,1,1,-14753.60774279334,0.0,1970.953945815
36,1,1,-14753.60774279334,0.0,1113.286134675
36,1,1,-14753.60774279334,0.0,696.3467799199999
37,1,1,-14753.60774279334,0.0,412.19673651000005
37,1,1,-14753.60774279334,288.87765983500003,288.87765983500003
37,1,1,-14753.60774279334,0.0,156.93545909999997
37,1,1,-14753.60774279334,0.0,176.10895867000002
37,1,1,-14753.60774279334,0.0,136.98585835999998
37,1,1,-14205.47228447334,548.13545832,548.13545832
37,1,1,-12765.905960377946,1493.23066714,1493.23066714
37,1,1,-14963.247083417022,0.0,2802.29632468
38,1,1,-17487.1307764561,0.0,3198.7570097
38,1,1,-16958.7109220561,3182.2198544,3182.2198544
38,1,1,-15675.4276594511,3937.083262605,3937.083262605
38,1,1,-10963.205372901237,5084.150801759999,5084.150801759999
38,1,1,-13617.005372901236,0.0,5932.66842027
38,1,1,-7611.430656366617,6224.1514196200005,6224.1514196200005
38,1,1,-8438.209406190163,0.0,6021.90505344
38,1,1,-11092.009406190162,0.0,8329.150838875
39,1,1,-13745.809406190161,0.0,11238.789158730002
39,1,1,-1361.9965260212284,12383.812880168934,12473.676147999999
39,1,1,-2760.1182035120164,1255.6783225092122,7973.8785246
39,1,1,-5413.918203512017,0.0,3981.4190431399998
39,1,1,-4962.601400552017,3105.11680296,3105.11680296
39,1,1,-6719.198430022155,0.0,1968.83266944
39,1,1,-7852.186133562154,0.0,1132.98770354
39,1,1,-8625.586958962154,0.0,773.4008254
40,1,1,-8625.586958962154,1079.82077224,1079.82077224
40,1,1,-9110.643193937154,0.0,485.056234975
40,1,1,-9110.643193937154,0.0,430.07006659499996
40,1,1,-9390.699703917155,0.0,280.05650998
40,1,1,-9316.441023092155,74.258680825,74.258680825
40,1,1,-9316.441023092155,0.0,207.944108915
40,1,1,-8900.580809027155,415.860214065,415.860214065
40,1,1,-8900.580809027155,735.97394624,735.97394624
41,1,1,-8900.580809027155,1499.335462625,1499.335462625
41,1,1,-7263.018721944467,2876.12694963,2876.12694963
41,1,1,-4674.672635439074,4251.03419184,4251.03419184
41,1,1,-5414.021794360924,1914.45084107815,5780.703608865
41,1,1,-6542.480254255532,0.0,7509.779022719999
41,1,1,-563.596837685669,7861.672897359999,7861.672897359999
41,1,1,-1114.3396025092143,0.0,6717.70776336
41,1,1,-1114.3396025092143,0.0,7154.540711129999
42,1,1,2653.8,6421.939602509215,7904.60249328
42,1,1,1155.6652825092142,1155.6652825092142,7153.227538599999
42,1,1,-654.5550387453927,0.0,8037.063762240001
42,1,1,-3009.4166967844694,0.0,8011.48242601
42,1,1,-5366.364973754607,0.0,6772.242871199999
42,1,1,-3285.5477397546065,4734.617234,4734.617234
42,1,1,-4328.895103509212,0.0,3256.9185923699997
42,1,1,-4328.895103509212,0.0,1929.23950726
43,1,1,-12357.38199775752,0.0,1155.23660414
43,1,1,-12357.38199775752,294.85443912,294.85443912
